"【药品名称】
通用名称：艾迪注射液
汉语拼音：Aidi zhusheye",【成份】斑蝥、人参、黄芪、刺五加。,【性状】本品为浅棕色的澄明液体。,【功能主治】清热解毒，消瘀散结。用于原发性肝癌，肺癌，直肠癌，恶性淋巴瘤，妇科恶性肿瘤等。
"【药品名称】
通用名称：安肾丸
汉语拼音：Anshen Wan",【成份】巴戟天(甘草炙)、肉苁蓉、补骨脂、川乌(甘草银花炙)、肉桂、白术、山药、茯苓、蒺藜、粉萆、石斛、桃仁、,【性状】本品为黄色至黄褐色的水丸；味苦。微辛。,【功能主治】　补肾散寒。用于肾不纳气，湿寒侵袭引起的梦遗滑精，肾囊湿冷，遗淋白浊，脐腹作痛，精神倦怠，健忘失眠，腰腿酸痛，头晕耳鸣二便不利。
"【药品名称】
通用名称：安嗽片
汉语拼音：Ansou Pian",【成份】浙贝母、百部、前胡、桔梗、半夏（制）、陈皮、甘草。,【性状】本品为淡黄棕色的片；气香，味甘、微苦。,【功能主治】止咳，祛痰。用于咳嗽多痰。
"【药品名称】
通用名称：安嗽糖浆
汉语拼音：Ansou Tangjiang",【成份】浙贝母、甘草流浸膏、百部、桔梗、前胡、姜半夏、陈皮、氯化铵、盐酸麻黄碱、薄荷脑。,【性状】本品为红棕色的粘稠液体；气香，味甜、微咸。,【功能主治】润肺化痰，止咳平喘。用于痰热阻肺，喘息气短，咳嗽痰粘，口喝咽干。
"【药品名称】
通用名称：安胎益母丸
汉语拼音：Antai Yimu Wan",【成份】益母草、香附、川芎、当归、续断、艾叶、白芍、白术、杜仲、党参、茯苓、砂仁、阿胶、黄芩、陈皮、熟地黄、甘草、,【性状】本品为棕黑色的大蜜丸；气香，味甜。,【功能主治】　调经，活血，安胎。用于气血两亏，月经不调，胎动不安。
"【药品名称】
通用名称：安胃颗粒
汉语拼音：an wei ke li",【成份】延胡索（醋制）、白矾（煅）、海螵蛸（去壳）,【性状】本品为黄色的颗粒；气微，味涩、微苦。,【功能主治】解气活血，制酸止痛。用于气滞血瘀所致的胃脘刺痛、吞酸嗳气、脘闷不舒；慢性胃炎见上述证侯者。
"【药品名称】
通用名称：安胃止痛散
汉语拼音：Anwei Zhitong San",【成份】海螵蛸、小茴香、珍珠母、肉桂、干姜、山柰、大黄、丁香、陈皮（制）、花椒、薄荷脑、甘草,,【功能主治】和胃制酸，理气止痛。用于胃气不和引起的胃脘胀闷疼痛，反胃吞酸。
"【药品名称】
通用名称：安阳固本膏
汉语拼音：Anyang Guben Gao",【成份】乌药、白芷、木通、当归、赤芍、大黄、续断、椿皮、川牛膝、杜仲、附子、锁阳、红花、巴戟天、艾叶、香附、肉桂、益母草、金樱子、血竭、乳香、没药、儿茶、,【性状】本品为涂摊于布上的黑色膏药。,【功能主治】温肾暖宫，活血通络。用于女子宫寒不孕，经前腹痛，月经不调男子清稀薄，精子少，腰膝冷痛。
"【药品名称】
通用名称：安阳精制膏
汉语拼音：Anyang Jingzhi Gao",【成份】生川乌、生草乌、乌药、白蔹、白芷、白及、木鳖子、关木通、木瓜、三棱、莪术、当归、赤芍、肉桂、大黄、连翘、血竭、阿魏、乳香、没药、儿茶、薄荷脑、水杨酸甲酯、冰片、,【性状】本品为微红色片状橡胶硬膏；气芳香。,【功能主治】　消积化块，逐瘀止痛，舒筋活血，追风散寒。用于男子气块，妇女血块，腹内积聚，风寒温痹，腰腿、筋骨、胳膊、关节诸痛、胃寒疼痛，手足麻木。
"【药品名称】
通用名称：桉绿油
汉语拼音： Anluyou",【成份】桉油。,【性状】本品为淡绿色的澄清液体；有特异的芳香气。,【功能主治】皮肤刺激药。用于蚊叮虫咬引起的皮肤肿痛。
"【药品名称】
通用名称：敖东壮肾丸
汉语拼音：Aodong Zhuangshen Wan",【成份】熟地黄、韭菜子(炒)、肉苁蓉、补骨脂(盐制)、淫羊藿(制)、黄芪、红参、狗肾(烫)、海马(酥)、鹿鞭(烫)、牛膝、菟丝子(酒制)等21味。,【性状】本品为棕褐色的大蜜丸；气特异，味甜、微腥。,【功能主治】补肾壮阳，益气养血。用于肾阳不足，气血虚弱。
"【药品名称】
通用名称：广东凉茶（袋泡茶）
汉语拼音：an dong liang cha(dai pao cha)",【成份】同上。,【性状】本品为棕褐色粗粉末状(袋泡装)药茶；气微，味苦、甘。,【功能主治】同上。
"【药品名称】
通用名称：广东凉茶颗粒
汉语拼音：Guangdong Liangcha Keli",【成份】岗梅、山芝麻、五指柑、淡竹叶、木蝴蝶、布渣叶、火炭母、金沙藤、广金钱草、金樱根。,【性状】本品为棕色的颗粒或不规则状粉末；味苦、甘。,【功能主治】清热解暑，去湿生津。用于四时感冒，发热喉痛，湿热积滞，口干尿黄。
"【药品名称】
通用名称：广东凉茶颗粒（冲剂）（无糖型）
汉语拼音：an dong liang cha ke li(chong ji)(wu tang xing)",【成份】岗梅、山芝麻、五指柑、淡竹木、蝴蝶、布渣叶、火炭母、金沙藤、广金钱草、金樱根。辅料为淀粉,【性状】本品为棕色的颗粒或不规则状粉末；味苦、甘。,【功能主治】清热解暑，去湿生津。用于四时感冒，发热喉痛，湿热积滞，口干尿黄。
"【药品名称】
通用名称：广东神曲
汉语拼音： Guangdong Shenqu",【成份】前胡、甘草、大黄、使君子、高良姜、百合、苍术、栀子、莪术、薄荷、防风、羌活、姜黄、陈皮、山楂、蒲黄、柴胡、麦芽、厚朴、白扁豆、紫苏叶、苦杏仁、葛根、车前草、槟榔、泽兰、薏苡仁、独活、荆芥、木香、麻黄、益母草、青皮、乌药、桔梗、诃子、,【性状】本品为棕黄色的长方形块状物；气香，味微辣、涩。,【功能主治】祛风消滞，健胃和中。用于感冒发热，食滞，呕吐，泄泻。或供配方用。
"【药品名称】
通用名称：安胎丸
汉语拼音：Antai Wan",【成份】当归、川芎、黄芩、白芍、白术、,【性状】本品为棕色的大蜜丸；气香，味甘、辛。,【功能主治】养血安胎。用于妊娠血虚，胎动不安，面色淡黄，不思饮食，神疲乏力。
"【药品名称】
通用名称：安胃胶囊
汉语拼音：Anwei Jiaonang",【成份】海螵蛸(去壳)、白矾(煅)、延胡索(醋制)。,【性状】本品为胶囊剂，内容物为类白色至淡黄色粉末；气微，味涩、微苦。,【功能主治】制酸，止痛。用于胃脘刺痛，吞酸嗳气，脘闷不舒及慢性胃炎见上述症状者。
"【药品名称】
通用名称：安胃片
汉语拼音：an wei pian",【成份】延胡索、(醋制)、白矾、(煅)、海螵蛸、(去壳)。,【性状】本品为类白色至淡黄色的片；气微，味涩、微苦。,【功能主治】行气活血，制酸止痛。用于气滞血瘀所致的胃脘刺痛、吞酸嗳气、脘闷不舒；慢性胃炎见上述证侯者。
"【药品名称】
通用名称：安阳膏药
汉语拼音：Anyang Gaoyao",【成份】生川乌、生草乌、木瓜、白芷、阿魏、木鳖子、乳香、没药、三棱、莪术、血竭、大黄、乌药、关木通、当归、肉桂、白蔹、连翘、赤芍、白及、儿茶、,【性状】本品为摊于羊皮上的黑膏药。,【功能主治】　消积化块，逐瘀止痛，舒筋活血，追风散寒。用于徵瘕积聚，风寒湿痹，腰、腿、膀、背、筋骨、关节、骨寒诸痛及手足麻木等症。
"【药品名称】
通用名称：安阳虎骨药酒
汉语拼音：Anyang Hugu Yaojiu",【成份】制川乌、桑枝、五加皮、威灵仙、虎骨(炒烫)、独活、佛手、木瓜、法半夏、川芎、甘草、杜仲、白芷、细辛、补骨脂(盐炭)、青皮、砂仁、八角茴香、枳壳、黄芪、羌活、防风、红花、苍术、桔梗、白术、千年健、,【性状】本品为红棕色的澄清液体；气香，味苦。,【功能主治】　祛风除湿，活血止痛，强筋壮骨。用于半身不逐，左瘫右痪，周身麻木，腰腿疼痛，肢体拘挛，跌打损伤，风湿诸疼。
"【药品名称】
通用名称：安中片
汉语拼音：Anzhong Pian",【成份】桂枝、延胡索(醋制)、牡蛎(煅)、小茴香、高良姜、砂仁、甘草。,【性状】本品为浅褐色的片，气香，味微甘、苦、涩。,【功能主治】温中散寒，理气止痛，和胃止呕。用于胃脘疼痛，慢性胃炎，胃酸过多，胃及十二脂肠溃疡。
"【药品名称】
通用名称：按摩乳
汉语拼音：Anmo Ru",【成份】乳香、没药、川芎、芸香、薄荷油、郁金、乌药、桂皮油、丁香油、樟脑、颠茄流浸膏、水杨酸甲酯、单硬脂酸甘油酯等14味。,【性状】本品位类白色的乳状液，气芳香,【功能主治】活血化瘀，和络止痛。用于运动劳损，肌肉酸痛，跌打扭伤。
"【药品名称】
通用名称：广东凉茶
汉语拼音：Guangdong Liangcha",【成份】岗梅根、金樱根、金沙藤、五指柑、火炭母、山芝麻、广金钱草、淡竹叶、布渣叶、木蝴蝶。,【性状】本品为原药材的片、段（包装）或棕褐色粗粉末状（袋泡装）药茶；气微，味苦、甘。,【功能主治】清热解暑，去湿生津。用于四时感冒，发热喉痛，湿热积滞，口干尿黄。
"【药品名称】
通用名称：广东凉茶（片段包装）
汉语拼音：an dong liang cha(pian duan bao zhuang)",【成份】岗梅根、木蝴蝶、淡竹叶、金沙藤、火炭母、五指柑、金樱根、布渣叶、山芝麻、广金钱草。,【性状】本品为原药材的片、段(包装)；气微，味苦、甘。,【功能主治】清热解暑，去湿生津。用于四时感冒，发热喉痛，湿热积滞，口干尿黄。
"【药品名称】
通用名称：广东凉茶颗粒（冲剂）（含糖型）
汉语拼音：an dong liang cha ke li(chong ji)(han tang xing)",【成份】岗梅、山芝麻、五指柑、淡竹木、蝴蝶、布渣叶、火炭母、金沙藤、广金钱草、金樱根。辅料为淀粉,【性状】本品为棕色的颗粒或不规则状粉末；味苦、甘。,【功能主治】清热解暑，去湿生津。用于四时感冒，发热喉痛，湿热积滞，口干尿黄。
"【药品名称】
通用名称：广东蛇药片
汉语拼音：Guangdong Sheyao Pian",【成份】柚叶蛇王藤,【性状】本品为黄褐色的片；味甘凉、微苦涩。,【功能主治】清热解蛇毒，消肿止痛。用于毒蛇咬伤(银环蛇、蝮蛇、眼镜蛇、青竹蛇、金环蛇、烙铁头蛇咬伤)。
"【药品名称】
通用名称：广羚散（犀羚散）
汉语拼音：Guangling San",【成份】胆南星、黄连、桅子、黄芩、天竺黄、天麻、全蝎、钩藤、琥珀、雄黄、朱砂、牛黄、羚羊角、广角、冰片、麝香、,【性状】本品为棕黄色的粉末；气清凉，味苦。,【功能主治】　清热解毒，镇惊息风。用于小儿高热惊风，神昏抽搐。
"【药品名称】
通用名称：百咳静颗粒
汉语拼音：BAIKEJINGKELI",【成份】黄岑、桑白皮、瓜蒌仁、前胡、百部、麻黄、桔梗、苦杏仁、紫苏子、清半夏等16味。,"【性状】本品为黄棕色的颗粒, 气微 、味微苦。",【功能主治】清热化痰， 平喘止咳 。用于感冒及急慢性气管炎引起的咳嗽。
"【药品名称】
通用名称：贝羚散
汉语拼音：Beiling San",【成份】川贝母、、羚羊角、、人工麝香。,【性状】本品为土黄色的粉末；具麝香特异香气，味微苦。,【功能主治】　清热化痰。用于小儿肺炎、支气管哮喘、哮喘性支气管炎引起的壅气急，也可用球成年人慢性支气管炎引起的痰壅气急。
"【药品名称】
通用名称：鼻渊舒口服液
汉语拼音：Biyuanshu Koufuye",【成份】苍耳子、辛夷、薄荷、白芷、黄芩、栀子、柴胡、细辛、川芎、黄芪、川木通、桔梗等13味。,【性状】本品为棕色的液体；具有特异香气，味甜、微苦。,"【功能主治】通利鼻窍。用于鼻塞不通、流黄稠涕、急慢性鼻炎、副鼻窦炎。
适用于因感冒引起鼻塞不通、流黄稠涕、急慢性鼻炎、副鼻窦炎。还能明显改善鼻塞不通，头昏胀痛，鼻腔分泌物增多，鼻窦区压痛，鼻甲肥大等症状。"
"【药品名称】
通用名称：补脑丸
汉语拼音：Bunao Wan",【成份】当归、枸杞子、酸枣仁(炒)、柏子仁(炒)、益智仁(盐炒)、龙骨(煅)、远志(制)、胆南星、天麻、石菖蒲、琥珀、肉苁蓉(蒸)等15味。,【性状】本品为糖衣浓缩丸，除去糖衣后，显棕褐色；味苦、辛。,【功能主治】滋补精血，安神镇惊。用于健忘，记忆减退，头晕耳鸣，心烦失眠，心悸不宁。
"【药品名称】
通用名称：八珍胶囊
汉语拼音：ba zhen jiao nang",【成份】党参、白术(炒)、茯苓、熟地黄、当归、白芍、川芎、甘草。,【性状】本品为胶囊剂，内容物为深棕色的颗粒及粉末；气微香，味微甜、苦。,【功能主治】补气益血。用于气血两虚，面色萎黄，四肢乏力。
"【药品名称】
通用名称：八珍丸
汉语拼音：Bazhen Wan",【成份】党参、白术(炒)、茯苓、熟地黄、当归、白芍、川芎、甘草。,【性状】本品为棕褐色的浓缩丸；气香，味苦、辛、微酸。,【功能主治】补气益血。用于气血两虚，面色萎黄，食欲不振，四肢乏力，月经过多。
"【药品名称】
通用名称：八珍益母丸
汉语拼音：ba zhen yi mu wan",【成份】益母草、党参、白术(炒)、茯苓、熟地黄、当归、白芍(酒炒)、川芎、甘草。,【性状】本品为棕黑色的水蜜丸；微有香气，味甜而微苦。,【功能主治】补气血，调月经。用于妇女气血两虚，体弱无力，月经量少、后错。
"【药品名称】
通用名称：白带丸
汉语拼音：Baidai Wan",【成份】黄柏(酒炒)、椿皮、白芍、当归、醋香附；辅料为水。,【性状】本品为黄棕色至黑棕色的浓缩水丸；味苦。,【功能主治】清热，除湿，止带。用于湿热下注所致的带下病，症见带下量多、色黄、有味。
"【药品名称】
通用名称：百合固金丸
汉语拼音：Bai He Gu Jin Wan",【成份】百合、地黄、熟地黄、麦冬、玄参、川贝母、当归、白芍、桔梗、甘草。辅料为蜂蜜。,【性状】本品为黑褐色的大蜜丸；味微甜,【功能主治】养阴润肺，化痰止咳。用于肺肾阴虚，燥咳少痰，咽干喉痛。
"【药品名称】
通用名称：柏子养心片
汉语拼音：Baizi Yangxin Pian",【成份】柏子仁、党参、黄芪、川芎、当归、茯苓、远志、酸枣仁、肉桂、五味子、半夏曲、甘草、朱砂、,【性状】本品为糖衣片，除去糖衣后显红棕色；味苦、微麻。,【功能主治】补气，养血，安神。用于心气虚寒，心悸易惊，失眠多梦，健忘
